Prompt,Generation,Coherence,Musical Quality,Pop Style
Whispered something in your ear,"Whispered something in your ear 'Cause you don't know what it's like to be alone You're not the only one that I've been thinking about for a long time (Yeah, yeah)",8,4,9
I've never seen you looking,"I've never seen you looking in the mirror I don't know what it's like to be alone You look at me and say, ""You're so beautiful.""",4,2,6
Step out into the dawn,"Step out into the dawn 'Cause I don't know what it's like to be a part of my life And if you're in love with me, then why not?",4,7,4
"NA You're the light, you're","NA You're the light, you're looking for me I don't know what it's like to be a part of your life We've been in love with each other since we first met (Oh-oh) A little bit more than two years ago She said ""I'm not gonna let go"" And she told her friends that they'd never come back 'Cause there was no one else",3,2,4
You're like a demon on,"You're like a demon on the other side of me And I don't know what to do With your eyes wide open, there's no doubt in my mind That you'll never let go You've been mine for more than two hundred years The only thing that can change is how long it takes To get away from this place (I'm not sure if we could ever be together) 'Cause",4,3,3
Feel the ocean as it,"Feel the ocean as it flows, but I don't know what you're gonna do It's just a matter of time to make up your mind 'Cause we've been waiting for so long You'll never let me down (I'm not sure if that is true) Your heart will always be in my head But no one can stop us from loving each other So come on and say goodbye We",3,5,2
We were searching for an,"We were searching for an answer, but we couldn't find the answers We found a way to get out of this place And I'm not sure if it's right or wrong 'Cause when you're looking at me with your eyes wide open You've never been here before The only thing that ever happened in my life (Oh-ooh) There was no one who could save us But there",6,6,8
She just wants to be,"She just wants to be with me, but I don't know what she's gonna do When you're in the middle of your life You've been there for a long time She said it all over again And now her eyes are wide open (I'm not sure if this is true)",4,8,4
"You, walk alone Every night","You, walk alone Every night you wake up in my bed I don't know what it's like to be a part of this world You're the only one who can make me feel alive And we'll never let go We've been living our lives together for more than half an hour A little time has gone by So many years have passed and there are still some things left To say goodbye But",7,7,4
"I'm, I'm good at wasting","I'm, I'm good at wasting my time Don't you know what it's like to be in love with someone else? You're the only one who can stop me from getting too much out of your way (Oh-ooh)",3,3,3
Thought that I'd forget about,Thought that I'd forget about all the things you've done to me 'Cause it's just a matter of time And now we're in love with each other,8,8,3
Just forget it I can,"Just forget it I can't believe that you're the only one in my life It's all just a matter of time Just think about what we've got to say 'Cause your love is so much more than anything else You'll never let me go (I'm not gonna do this again) Oh-ooh, look back at those days when they were young And there was no room for",4,4,7
NA No me puedo dormir,"NA No me puedo dormir I don't know what it's like to be a part of your life But you're not the only one Whoa, why are we so far apart?",3,6,7
"We had a bad day,","We had a bad day, but we don't know what it's like to be alone We've been living in the same place for so long And I'm not sure if you're feeling right now 'Cause my heart is beating out of control (Oh-oh) So let me take your time and think about how this whole thing will change You'll never see that again But just look at",5,3,8
"If I told you, that","If I told you, that would be the end of my life Don't tell me what it's like to live in a place where no one else can see You've got your heart set on fire 'Cause we're not gonna let this go away (Oh-ooh) We'll never find another way To keep our hearts from falling apart The only thing left for us is love And if",8,3,5
Never seen Mona Lisa up,"Never seen Mona Lisa up in the back of my head I can't tell you what it's like to be alone You've been here for a long time She said, ""I'm not your friend"" When she told me that her love was so much more than we ever thought We'll never get together again 'Cause no one knows how far apart they're from each other The only thing",5,2,2
