Prompt,Generation,Coherence,Musical Quality,Pop Style,BLEU,Rouge LSUM
"I'm, I'm good at wasting","I'm, I'm good at wasting my time Don't you know what it's like to be in love with someone else? You're the only one who can stop me from getting too much out of your way (Oh-ooh)",4,4,6,0.702,0.093
Thought that I'd forget about,Thought that I'd forget about all the things you've done to me 'Cause it's just a matter of time And now we're in love with each other,7,6,8,0.63,0.08
Just forget it I can,"Just forget it I can't believe that you're the only one in my life It's all just a matter of time Just think about what we've got to say 'Cause your love is so much more than anything else You'll never let me go (I'm not gonna do this again) Oh-ooh, look back at those days when they were young And there was no room for",6,7,7,0.544,0.111
NA No me puedo dormir,"NA No me puedo dormir I don't know what it's like to be a part of your life But you're not the only one Whoa, why are we so far apart?",2,4,6,0.726,0.098
"We had a bad day,","We had a bad day, but we don't know what it's like to be alone We've been living in the same place for so long And I'm not sure if you're feeling right now 'Cause my heart is beating out of control (Oh-oh) So let me take your time and think about how this whole thing will change You'll never see that again But just look at",6,6,8,0.618,0.136
"If I told you, that","If I told you, that would be the end of my life Don't tell me what it's like to live in a place where no one else can see You've got your heart set on fire 'Cause we're not gonna let this go away (Oh-ooh) We'll never find another way To keep our hearts from falling apart The only thing left for us is love And if",4,5,7,0.595,0.082
Never seen Mona Lisa up,"Never seen Mona Lisa up in the back of my head I can't tell you what it's like to be alone You've been here for a long time She said, ""I'm not your friend"" When she told me that her love was so much more than we ever thought We'll never get together again 'Cause no one knows how far apart they're from each other The only thing",3,3,4,0.653,0.0132
Well I know when you're,"Well I know when you're with me There's no doubt in my mind that we'll never be the same We've been together for a long time, but it doesn't seem to have changed our way of life (I'm not sure if this is true apart)",4.666666667,5.333333333,6.5,0.641133333,0.093673333
I'll live for you I'd,"I'll live for you I'd love to know You're the only one who can't get me out of my head It's been a long time, but it feels like we've gone too far My heart is beating faster than your heartbeat Is there anything wrong with this song? (Oh-oh)",,,,,
"NA I'm sorry for everything,","NA I'm sorry for everything, but it's not my fault (I don't know what to say) But you're the one that makes me feel like someone else You've got a lot of things in your head right now And we'll never get back together again 'Cause there are so many people on this planet Who could have been better off if they were all alone? Oh-oh",,,,,
The world can be a,"The world can be a mess, but I don't know what it's like to live for the rest of my life The only thing that will ever change is when you're in love with someone else You'll never let me go again 'Cause we've been together after all this time (I'm not gonna say goodbye) Oh-huh!",,,,,
Today I feel like running,"Today I feel like running out of time Don't know what's going on in my mind 'Cause you're the only one who wants me to be Your love is so much more than anything else You'll never let it go away, no matter how many times we've been together We were just a couple miles from each other And there was nothing that could keep us apart (Oh-oh)",,,,,
To your soul To your,"To your soul To your heart That's what you're looking for You've got to be a part of my life And I'll never let it go 'Cause the world won't hold me back So come on, make sure that we can keep our eyes open (Oh-oh)",,,,,
I've been staring at the,"I've been staring at the sky for a while, and I don't know what it's like to fall in love with you All of my friends have told me that we'll never be together 'Cause they're so different from each other (Oh-oh) The only difference between us is just how much time has gone into our lives How many times does this make sense? And why do",,,,,
You got that thing that,"You got that thing that I've been waiting for You don't know what it's like to be alone But you're the only one who can make me feelin' so much more than just a little bit of love Oh, oh-oh!",,,,,
Be careful waking up the,"Be careful waking up the other day I don't know what it's like to be alone With your eyes wide open and you're looking at me You've got a lot of things going on in my head But this is just one more thing that we can do We'll never let go, no matter how long It will take us all our lives (I'ma-hmm) 'Cause",,,,,
And all I am is,"And all I am is the same But it's just a matter of time And if you don't know what to do, then we'll end up with something like this",,,,,
Feel the sun on your,"Feel the sun on your skin Don't you know what it's like to be alone? I've been thinking about this for a while now, but no one has ever told me The truth is that we're in love with each other And all of our friends and family We'll never meet again (I'm not gonna change my mind)",,,,,
"When you try your best,","When you try your best, it's just a matter of time And I don't want to be alone You're the only one who can get away from me 'Cause there are so many other people in my life that we've never met (I'm not sure if they'll ever meet) So what does this mean? The world is always changing Every day and every night But for some reason",,,,,
Show me a piece of,"Show me a piece of art, I don't know what it's like to be alone You're the only one that you've ever been in my life (I'ma-ooh) How many times have we gone out on our own? 'Cause nobody knows how much time they spent with each other And so far away from us We'll never get back together again This is all for",,,,,
I remember the rush We,"I remember the rush We don't know what it's like to be alone, but we've been together for a long time And I can tell you that this is all over again You're never gonna let me go back in my head and say 'bout your love' (Oh-ooh)",,,,,
"One by one, out the","One by one, out the door I don't know what it's like to live in a world where we're all alone We've been living our lives for more than two thousand years And if you look at me with your eyes wide open You'll never see my face again (Oh-oh) The only thing that matters is how many of us can get away from each other Every single day",,,,,
Oh Oh Just shoot for,"Oh Oh Just shoot for me 'Cause I don't know what you're gonna do It's just a matter of time You've got to make it right in your head And when the lights go out, there'll be no one left on my mind The only thing that matters is who we are (Whoa-ooh)",,,,,
"Oh, what they think about","Oh, what they think about me? I don't want to be that kind of girl You're the only one who's been around for a long time But you've got my heart set on fire And we'll never let go 'Cause this is how it feels right now (I'm still in love) Oh-huh!",,,,,
"""Hey, Macklemore, can we go","""Hey, Macklemore, can we go? 'Cause I don't know what it's like to be with you,"" he said.",,,,,
"My, my Hey, hey Rock","My, my Hey, hey Rockin' on the radio I don't know what you're talking about It's just a matter of time You can tell me how it feels to be in your head 'Cause we've got so many people out there Who are they gonna call for? The only thing that matters is our love We'll never get too far from each other And no one will ever",,,,,
"Girl, you think you got","Girl, you think you got me? I don't know what it's like to be a part of my life You're the only one who can make your dreams come true (Oh-oh)",,,,,
All I have or should,"All I have or should've known is that there's something wrong with the way you're looking at me You don't really know what to do With your eyes wide open (I can see it in a different light) All these things, all of them are just up and down We'll never be alone But we will always love each other 'Cause no one has been around for so long",,,,,
Having a bad day Having,"Having a bad day Having too much to say 'Cause I don't know what's going on in my life But you're the only one that can make me feel good, right?",,,,,
These bare bones are made,"These bare bones are made of gold, but I don't know what it's like to live in a world where you're the only one You've got me on your mind (I'ma-ooh) And all my friends and family have been around for more than two or three years So why do we love each other so much? Is there anything else that can make us feel better",,,,,
This is one small step,"This is one small step in the right direction I've been thinking about you for a long time Don't get me wrong, it's hard to keep track of what we're going through 'Cause there are so many things on my mind We'll be fine with each other (I'm not even close enough) But this will never stop us from getting along So much more than just hanging out together",,,,,
True life begins behind the,"True life begins behind the door 'Cause I don't know what it's like to be on my own When you're in love with someone else You've been there for a long time And we'll never get out of our comfort zone (Yeah, yeah)",,,,,
"Yeah, you never said a","Yeah, you never said a word 'Cause I don't know what it's like to be here in my life You're the only one who can make me feel this way No matter how many times we've been with each other (I'm not sure if that is true) All of our lives are so much more than they could ever have Been together for three or four years Oh-oh",,,,,
Wake up to the blue,"Wake up to the blue and tell me what's wrong with you? I've been thinking about it all for a while now, but nothing has changed in my life (I don't know) It feels like we're falling apart from each other We'll never get back together again The only thing that matters is our way of living Our lives are so much better than they ever could have Been",,,,,
"Oh Oh, oh, oh, oh","Oh Oh, oh, oh, oh I don't know what it's like to be alone in your head You're the one that makes me feel so good And you've been my love for a long time The only thing we can do is make our dreams come true",,,,,
I can name a couple,"I can name a couple of things, but I don't know what it's like to be alone You're the only one in my life And you've got me on your mind 'Cause this is so much more than we ever thought We'll never see each other again (Oh-ooh)",,,,,
When I was younger no,"When I was younger no one told me what it meant to be a boy And now we're living in the same place We can't get enough of each other There's nothing wrong with being alone But when you look back on your face and say, ""I'm so sorry for all my mistakes"" (Oh-oh)",,,,,
"Paints like a picture, sings","Paints like a picture, sings 'Cause I'm in love with you But it's hard to believe You're the only one who can't stop me from falling into your arms (Oh-ooh)",,,,,
I know I'm probably better,"I know I'm probably better than the rest of us, but that's not what we're supposed to be So don't get me started on my own If you've been around for a long time Feelin' like nothing is ever gonna change You'll never let it go 'Cause there are so many different things in your life And no one can do this all alone (Oh-oh)",,,,,
The dark and the ghost,"The dark and the ghost It's been a long time, but I don't know what to do When you're in love with someone else You'll never let it get away from me The only thing we can say is ""Oh-ooh"" when your eyes are wide open (I'm on my way) My heart goes out of control 'Cause no one knows that this will ever be",,,,,
"Coming in unannounced, drag my","Coming in unannounced, drag my way to a place where I don't even know what's going on You're the only one who can make me feel like you've been here for so long (I'm not gonna let it go away) Oh-ooh!",,,,,
"Ugh, you're a monster I","Ugh, you're a monster I don't even know what it's like to be in this world You've got me on the edge of my mind The only thing that matters is how far away we are from each other We'll never get along without one another (I'm not gonna let go) Oh-ooh!",,,,,
"NA Uh, fuck, I don't","NA Uh, fuck, I don't know what it's like to be a girl You're the only one in my life And you've got me on your mind (I'm not gonna say 'bout) Oh-ohhuh! Fuckin' at all of this shit It feels so much better than any other thing that we ever did We'll never go back and try again But",,,,,
"Oh, maybe that's where your","Oh, maybe that's where your heart is And I don't know what you're going to do 'Cause we've got it all in the back of our minds We need a lot more than just one thing You'll never get away from me (I'm not gonna change my mind) Ooh-hah!",,,,,
Last night all black and,"Last night all black and white, I don't know what it's like to be with me You're the only one that you've ever seen in my life This is just a matter of time Until we come together We'll see each other again",,,,,
When you meet a girl,"When you meet a girl I don't know what it's like to be in love with her You're the only one who can make me feel so alive And when she says, ""You've got my heart on your back"" (Oh-oh)",,,,,
This is when your flesh,This is when your flesh and bones are broken And I can't wait to see what you're looking for 'Cause there's no one else in the world right now,,,,,
My eyes have once again,"My eyes have once again been wide open, but I don't know what it's like to be a part of my life You're the only one that can make me feel so good When you look at your face and say ""I'm in love"" (Oh-ooh) My heart is always on fire And when we go out with each other We'll never ever see another One day",,,,,
I see the crystal raindrops,"I see the crystal raindrops in my eyes, but I don't know what it's like to be alone In a world where we can only dream of each other When you're with me And your love is so much more than anything else You'll never let go We've been together ever since our first date (We were just two years ago)",,,,,
With eyes wide shut we,"With eyes wide shut we've been waiting for a long time And I can't wait to see what's going on in the world We'll never be alone 'Cause when you're with me, my heart goes out of control The only thing that matters is your love You know how hard it feels (I'm not gonna let go) But no one will ever stop us from loving each other When",,,,,
I need nothing To travel,"I need nothing To travel to a place where you don't know what I'm looking for You're the only one who can get me There's no doubt in my mind that we'll never be alone We've been dreaming of each other all our lives Every day, every night The sun is shining down on us And when it gets too late (Oh-oh) When your eyes are wide open",,,,,
Blah! I was born in,"Blah! I was born in the city of New York City, and now you're on my way There's no better place to live than a thousand miles away You'll never know what it feels like when your eyes are wide open Don't let me go too far (I'm not sure if this will ever happen) We've been living our whole lives together since we were two years old",,,,,
"Coming in unannounced, drag my","Coming in unannounced, drag my way to a place where I don't know what it's all about You're the only one who can make me feel like you've been around for too long We'll be together forever And we will never see each other again",,,,,
Out from my window across,"Out from my window across the street I can't tell you what it's like to be in your life You've been around me for a long time (I never really thought about that) And now we're on our way out of town We'll have some fun with each other, but no one will ever see us again",,,,,
Always lived my life alone,"Always lived my life alone I don't know what it's like to be the one that you've been waiting for You're always looking at me in a different way The only thing we can do is make us feel good about each other Every single day, every night We go back and forth And all of our lives have changed so fast So much time has gone by How long will this last?",,,,,
He was born the fall,"He was born the fall of my heart And I've been in love with you for a long time He said, ""I don't know what it's like to be alone"" (Ooh)",,,,,
I hear the rumors outside,"I hear the rumors outside of my head, but I don't know what they're talking about It's been a long time since we were kids And when you look at me with your eyes wide open You've got nothing left to hide But no one knows for sure We'll never let it go down The only thing that can stop us from falling apart Is there anything else in this world? No",,,,,
Say it ain't so Why,"Say it ain't so Why do you love me? 'Cause I'm the only one in my life that's nothin' (Oh, oh-oh) You've been here for a long time And all of your dreams are falling apart Just to see what we're going through We'll never get back together again",,,,,
Two thousand years ago Two,"Two thousand years ago Two hundred and forty-four miles away I've been waiting for the day to come, but now it's just a matter of time And if you don't know what we're gonna do We'll be right here at home with your hands on my shoulder (I'm not kidding)",,,,,
One kiss is all it,"One kiss is all it takes to make me feel like I'm in love with you Two kisses are the only thing we can do We'll be together for a long time, but that won't last forever",,,,,
Today marks a year from,Today marks a year from now We can't wait to see what the hell is going on There's nothing left in this world that we've never seen before And I'll be there for you next time (I'm gonna do it again),,,,,
Not a soul up ahead,"Not a soul up ahead of me I don't even know what it's like to be the one that you've been waiting for You're never gonna let go 'Cause there are so many people in your life And they say, ""I'm not going anywhere"" (Oh-ooh) But my heart is burning right now So why do we need someone who can take us all down?",,,,,
"Ruined again, what did I","Ruined again, what did I think of you? What was it like to be the first time in my life (I don't know if that's right or wrong) And now we're on our own We've been together for more than two and a half years But no one ever really cares about each other 'Cause-suckin' me when they say ""Oh yeah""",,,,,
We're riding down the boulevard,"We're riding down the boulevard and I don't know if we'll ever be together We've got a lot of friends, but it's not enough for me to say 'bout your love' If you want more than just one thing You can never get away from us All that matters is how much time goes by Our hearts are filled with tears in our eyes Every single day feels like",,,,,
You say you love me,"You say you love me, but I don't know what it's like to be with somebody else You're the only one in your life Who knows?",,,,,
I never came to the,"I never came to the end of my life But I don't know what it's like when you're with me The only thing that matters is your love You've been there for a long time And no one will ever say 'bout how many times have gone wrong Oh, why are we so far apart?",,,,,
I live inside my own,"I live inside my own house I don't know what it's like to be living in a world where you're the only one You've been with me for so long And all of your love has gone away Oh-oh, whoa!",,,,,
Traveling in a fried-out Kombi,"Traveling in a fried-out Kombi, I don't know what it's like to be alone You're the only one that can make me feel good And you've got my heart on your back We'll meet againin' when we get out of town",,,,,
I feel so bad That,"I feel so bad That I don't know what it's like to be a part of my life You're the only one that can change me back in time When we were young And when you look at your face and say ""Oh, oh-oh"" We've been together for more than two years now My heart is beating faster Than ever before 'Cause our hearts are racing against each other",,,,,
I'm friends with the monster,"I'm friends with the monster, but I don't know what it's like to be alone in your head And when you're looking for a way out of this world You'll never see me again (Oh-ooh)",,,,,
Where you wanna go When,"Where you wanna go When I don't know what's going on in my mind You're the only one who knows how to make me feel Like this is just a matter of time We'll never be alone, but we've been together forease",,,,,
"I ain't worried 'bout nothin',","I ain't worried 'bout nothin', but it's been a long time since I got my name on the cover of The New York Times",,,,,
Even though we both know,"Even though we both know what it's like to be alone You're the only one I can't help but wonder if you've been with me for a long time And all of my friends, they say 'bout your love' (Oh-ooh)",,,,,
I wish Tracy Chapman was,"I wish Tracy Chapman was alive, but I don't know what it's like to be living in a world where no one knows who you're with You are the only thing that makes me feel Like my heart is beating out of control How do we keep our minds from falling apart?",,,,,
"Whoa, whoa, whoa Whoa, whoa,","Whoa, whoa, whoa Whoa, whoa, I don't know what you're looking for What's going on in your mind? Why is it so hard to keep track of all the things that we've been waiting For a little while now We'll be fine with each other (I'm not gonna give up) 'Cause no one will ever let me go Oh-",,,,,
"Baby, can't you see I'm","Baby, can't you see I'm running out of time? It's too late to let it go 'Cause we're all in the same We've been together for more than a year And this is what makes me feel so good on my own (Oh-oh) Just wanna be with your friends when they say goodbye You'll never know that no one else will ever come around and tell",,,,,
When life gets you down,"When life gets you down, I don't know what it's like to live in a fantasy world You're the only one who can get away from me All of my friends and family have been told that we'll never be alone But when they say 'bout your love' (Oh-ooh) My heart is on fire And every time someone says ""I'm not going anywhere""",,,,,
I woke up this morning,"I woke up this morning in the middle of my sleep And I don't know what it's like to be alone 'Cause we've been together for a long time We're just two miles away from each other But when you look at your face and say, ""Oh-oh"" (Woo) You'll never see me again!",,,,,
Don't wanna feel like The,"Don't wanna feel like The rest of my life You're the one that I'm supposed to be But you've got me on your mind It's been a long time since we were born 'Cause it was too late for us To go out and play with each other Every day, every night We'll come together again And all our friends will never forget Our love is so much more than just",,,,,
NA And I know she'll,"NA And I know she'll be here for the rest of her life It's been a long time since we met She said, ""I don't care if you're with me"" (Oh-oh) 'Cause no one else knows what to do With all my friends and family We've had so many things in our lives The only thing that matters right now is how they treat each other",,,,,
When I met you in,"When I met you in the backseat of my car It was just like a dream to be with me, but it wasn't that long ago And now we're on our way home We've been together for quite some time But no one's gonna stop us from loving each other",,,,,
"In her room, the lights","In her room, the lights are burning in my eyes But I don't know what it's like to be alone 'Cause you've got me on your mind And we'll never get too far away from each other We're gonna run out of time for a little bit More than just getting up and running (Yeah)",,,,,
Always seeing miracles Something we,"Always seeing miracles Something we can't get away from It's just a matter of time And I'm not sure what to say When you're in love with someone else You'll never let it go Oh-oh, this is the only thing that makes me feel so good (I've been thinking about myself for years)",,,,,
Do you believe that we,"Do you believe that we'll ever be the same? I don't know what it's like to live in a world where all of my friends and family are gone We've been living together for more than two hundred years, but our lives have changed so many times So let me take your time (I'm not sure if this is right or wrong) 'Cause no one else can blame us",,,,,
"Baby, I like your style","Baby, I like your style When you look at me You don't know what to do But it's just a matter of time 'Cause we're all in the same We've been together for more thanin' and so many years (I'm still on my way) Oh-oh!",,,,,
I count my time in,"I count my time in the morning But I don't know what it's like to be alone When you're with me You've got a lot of things on your mind And when we go out together We can get away from each other 'Cause no one will ever see us again (Oh, yeah)",,,,,
"Oh my, oh my, oh","Oh my, oh my, oh I don't know what it's like to fall in love with someone else You're the only one who can make me feel good And you've been there for a long time But we'll never get back together again",,,,,
"Pretty, pretty girls, pretty girls","Pretty, pretty girls, pretty girls I don't know what it's like to be in love with a girl You're the only one that you've ever met (Oh-ooh) She got me on my phone and she said ""I just wanna get out of bed"" And we were all alone We had our hands tied around each other 'cause there was no room for more than two",,,,,
"I'm waitin' up, savin' all","I'm waitin' up, savin' all the time I don't know what it's like to live in a world where you're never gonna let go 'Cause no one will ever stop me from living my life The only thing that we can do is get out of this place We'll be here for hours and days A little bit too long (Oh-ooh) But hey",,,,,
"Ooh, ooh-ooh-ooh, ooh ooh Take","Ooh, ooh-ooh-ooh, ooh ooh Take a deep breath and you'll never know what it's like to be alone You're the only one that I've ever seen in my life So don't get too far away from me (I'm not even close enough)",,,,,
Always under water When the,"Always under water When the sun is shining, I don't know what it's like to be in front of your eyes And when you look at me and say 'bout my love You've been waiting for a long time But now we're on our way We'll never see each other again",,,,,
Shining bright like a diamond,"Shining bright like a diamond in the sky, I can't help but wonder what's going on inside of me? Why is it so hard to find your love When you look at my eyes and say ""Oh-oh"" You've been thinking about this for years But now we're falling apart We'll never be together again 'Cause no one will ever know The only thing that keeps us",,,,,
I thought I would know,"I thought I would know what it's like to be in this world You're the only one who can't get away from me 'Cause you've been a part of my life for so long (Oh-ooh) So many times, when we were young We'd go out and spend all our time with each other But there was nothing that could save us From here on earth And now",,,,,
Climbing up through the window,"Climbing up through the window I don't know what it's like to be a part of your life You're so much more than you've ever been (I'm still in love, yeah) So let me go back and forth And maybe we could do something different with each other 'Cause if there was no one else on this planet It would never have happened that way We'd just",,,,,
"If I die today, it","If I die today, it's just a matter of time (I don't know what to do) 'Cause you're the only one who can save your life You've given me so much more than we ever thought We'll never get back together again Oh-ooh!",,,,,
Virginia Woolf and poetry No,"Virginia Woolf and poetry No, I don't want to be a part of your life But you're the only one who's gonna keep me on my mind 'Cause this is what it feels like To say that we'll never get back together (Oh-ooh)",,,,,
I love the light in,"I love the light in my eyes But I don't know what it's like to be alone, but you've been there for a long time You're never gonna let go of me 'Cause no one else will ever see your face The only thing that we can do is make our dreams come true",,,,,
Time to pack my bags,"Time to pack my bags I don't even know what you're gonna do It's just a matter of time, but it will never be the same The only thing that matters is how far away we are from each other We've been living in this world for so long No one can ever stop us From now on out with our hands wide open So let me go ahead and say goodbye 'Cause",,,,,
People say we shouldn't be,"People say we shouldn't be a part of the world But I know that's not what you're looking for You've got nothing to do with me 'Cause your life is so much better than it ever was (Oh-ooh, yeah) We'll never go back in time To make our dreams come true So many things have been written by my friends and loved ones They said they'd",,,,,
She said I don't wanna,"She said I don't wanna be alone 'Cause you're the only one in my life And that's what it takes to make me Feelin' like a motherfucker You say, ""I'm gonna take care of myself"" (Oh-oh)",,,,,
You're like a part of,"You're like a part of me, but I don't know what to do You've been on my mind for the past three or four years (I'm not sure if that's true) Do you think we'll ever be together again? Is it just too late in your life?""",,,,,
Whoah-oh Whoah-oh Whoah-oh Whoah I'm,"Whoah-oh Whoah-oh Whoah-oh Whoah I'm supposed to be, but it's just a matter of time Why don't you let me down? You're the only thing that can save us from this mess We've been living our lives for so long And we'll never get back together 'Cause no one will ever know where my love is coming From now on",,,,,
Black Beatles in the city,"Black Beatles in the city I don't know what it's like to be alone You've got a lot of friends, but you're so far away from me The only thing that matters is how much time we spend on each other We'll never ever get together again Black and white people talk about one another But when they say ""I'm not your friend"" (Oh-huh) They",,,,,
I'd like to call you,"I'd like to call you, but I don't know what's going on in my head You're the only one that can make me feel so alive 'Cause we've been together for a long time We'll never see each other again But when it all comes crashing down (Oh-oh) My heart is beating out of control This will be our last chance To save us from this disaster",,,,,
"You're insecure, don't know what","You're insecure, don't know what it's like to be a part of my life But I'm not the only one You've been around for so long And you'll never let me down 'Cause there is something in your heart that says ""Oh-ooh"" (Yeah)",,,,,
Remember those walls I built?,"Remember those walls I built? It's been a long time since you left me And now we're on the edge of my mind (I'm not sure what to do with it) Oh, don't let that go down We'll be back together again 'Cause no one else will ever know You've never seen anything like this in your life The only thing they can say is ""Whoa",,,,,
So what you been doing?,"So what you been doing? I don't know if it's the right thing to do, but this is just a matter of time To be honest with yourself You're not gonna let me go 'Cause no one will ever change your mind (Oh-ooh)",,,,,
I met you in the,"I met you in the back of my mind But I don't know what it's like to be alone You've been with me for a long time And no one has ever felt this way 'Cause we're so different from each other The only thing that matters is how far apart We can never get together again (Yeah, yeah) So go ahead and make your dreams come true Oh-oh",,,,,
"Yeah, yeah When I walk","Yeah, yeah When I walk down the street and tell you what it's like to be a part of my life You can't stop me from falling in love With your eyes wide open (I've been doing this for so long) And we'll never get back together again 'Cause no one else will ever let us go We're going out on our own without any other way To say goodbye",,,,,
"Baby, I remember a time","Baby, I remember a time when you were just like me You're the only one who knows how to make it right It's not my fault that we didn't get out of each other 'Cause there was so much going on in our lives We've been together for after all these years But now this is too late To wake up at your bedtime And find yourself alone with someone else",,,,,
You walked in to the,"You walked in to the door And I said, ""Don't tell me what you're gonna do 'Cause it's just a matter of time You know that we'll never be together We've been friends for more than two or three years But no one knows how long this will last (I'm on my way out) So go ahead and make your dreams come true My love is so strong",,,,,
"NA I let it fall,","NA I let it fall, don't know what you're gonna do It's just a matter of time You'll never be the one to say 'bout your love' (Oh-ooh)",,,,,
Scraping pennies and broken dollars,"Scraping pennies and broken dollars on the back of my head I don't know what it's like to live in a world where no one cares What you're gonna say is, ""I'm not going anywhere"" (Oh-ooh) 'Cause we'll never see this again.""",,,,,
"Baby, are you down, down,","Baby, are you down, down, in your arms? I don't know what it's like to be alone You're the only one that can hold me back 'Cause we've been together for a long time (I'm not gonna say goodbye) And all of my friends have said they'll never see each other again Oh-ooh!",,,,,
"Two, three, four Meet me","Two, three, four Meet me for the first time in my life I don't know what it's like to be alone In a world where we're so different from each other And when you look at your face and say ""Oh-oh"" You've got no way of letting go We'll never get back together again 'Cause nothing will ever change The only thing that keeps us apart is",,,,,
Wha-wha-wha-wha-what did you say? (J-J-J-J-J.R.),Wha-wha-wha-wha-what did you say? (J-J-J-J-J.R.),,,,,
You like to drink and,"You like to drink and talk, but you don't know what I'm talking about You're the only one that can get me out of trouble And it's been a long time in my life We've got so many things on our mind That we'll never forget But this is just another day for us To say goodbye 'bout your goodbyes' (Oh-ooh) It",,,,,
