Prompt,Generation,Coherence,Musical Quality,Pop Style
And all I am is,"And all I am is a lie, but it's not what you want me to be You're the only one in my life Who knows?"
Feel the sun on your,"Feel the sun on your face, I don't know what it's like to live in a place where no one knows You're not alone But you've got something for me (I'm feeling so good at this moment)"
"When you try your best,","When you try your best, I don't know what it's like to be a part of my life You're the only one that can make me feel good 'Cause we've been together forin' all our lives We'll never see each other again (Oh-ooh) And every time somebody says ""I'm in love"" They say they'd rather go out and get married"
Show me a piece of,"Show me a piece of shit, I don't know what it's like to be in this place You're the only one on my mind that you've been around for so long (I'm nothin' with all your friends) So much more than just looking at each other and saying 'boutin', ""Oh-huh"" And we'll never get back together again This time"
I remember the rush We,"I remember the rush We don't know what it's like to live in a world where you're never gonna let go of your life I've been thinking about this for years, but no one has ever told me Why do we feel so different from each other? The only thing that really matters is how much time will be spent between us and our loved ones (Oh-ooh) And"
"One by one, out the","One by one, out the other,"" he said. ""I don't know what it's like to live in a world that I've never seen before."""
Oh Oh Just shoot for,"Oh Oh Just shoot for the first time in my life I don't know what it's like to be alone And when you're out of control You'll never let me go 'Cause there are so many ways that we can get away from each other We've got a lot more than just one thing on your mind (I'm not gonna lie) But yeah, no-one else will ever"
"Oh, what they think about","Oh, what they think about me? 'Cause I don't know how to deal with it All of the things that are going on in my mind It's been a long time since we were young And when you look at your face and say ""I'm sorry"" You're not gonna let us go We'll never be together again."""
"""Hey, Macklemore, can we go","""Hey, Macklemore, can we go? 'Cause I don't know what it's like to be in a place where you're the only one."""
"My, my Hey, hey Rock","My, my Hey, hey Rockin' 'cause I don't know what it's like to be a part of your life You're the only one that can make me feel Like you've been in love for so long (I'm not gonna lie) All these years have gone by And we'll never ever see each other again"
"Girl, you think you got","Girl, you think you got me on my mind 'Cause I don't know what it's like to be with a girl You're the only one who can make your dreams come true"
