Prompt,Generation,Coherence,Musical Quality,Pop Style
What am I supposed to,"What am I supposed to do? 'Cause it's been a long time Since you left me in the dustbin' of your life You said, ""I'm not ready""So many years have passed by We're still young and our hearts are beating fast Don't wanna wake up one day feeling like this Is too late now Maybe we can be more than just part-time lovers What is",8,7,8
It's been at least another,"It's been at least another year Since you left your mark on the world And I don't know what time it used to be When we were just kids in high school You took my hand and said, ""I'll wait a little longer"" 'Cause all this love is fading out of sight We're only getting older each day So tell me how many younger people are? (Ooh)",8,9,10
(A million pieces) I breathe,"(A million pieces) I breathe for the first time in a while Don't you know what it feels like to be with someone else? 'Cause my heart is made up of people who've been here before And they're all about me now (I'm so good at being, oh-hoo!) So let's make this last forever We can get away from each other But we'll",7,9,6
Every time I think of,"Every time I think of you It's not the end But we both know what it means to be alive So don't let your hands get loose We're just human beings living in a constant state Of complete and utter unbreakable Unforgettable, unfiltered Nothings or lessons Learned from our lifetimes Told us that life had never been much like this Life was too long ago",9,7,6
"Uh-huh, uh-huh (Yeah, Rihanna) Uh-huh,","Uh-huh, uh-huh (Yeah, Rihanna) Uh-huh, I don't know what you're doin' 'Cause it's been a long time Since we were young and free From all of our pasts We used to talk about how good things can be But now the world is moving us in different directions And no one knows where this road will go",8,6,7
You said that we would,"You said that we would never go back to the start But I don't know if it's true or just a little crazy 'Cause now you're on my mind You've got me feeling like, ""I'm in love with somebody new"" (Moby Doo-doo) We'll be together for one night Only us two Can take all of our time To make this moment last",9,5,7
You know just what to,"You know just what to do When you're not around I can tell by the look in your eyes It's such a waste of time You've been here for so long Why don't we all get along? We could go nowhere with no one else In this modern world, it feels like home So let me put my hands up against each other 'Cause nothing is better than us two hundred and",7,6,7
I saw the bodies on,"I saw the bodies on a mountain Now I can't see where they're supposed to be But there's something in your eyes that makes me feel alive 'Cause when you look back, it feels like we've been gone for too long The past few days have seen so many different sides of us Meet up with my ex-boyfriends and let them know We'll get along fine (fine)",9,9,8
"In your eyes, there's a","In your eyes, there's a beauty in the way you look at me You don't even know what I'm doin' 'Til it all comes to an end The world is spinning out of control We're on our own so we can make this moment last forever All my friends and family are waiting for us To come together like they've never seen one before They'll always be right",7,7,6
"I was singing, I was","I was singing, I was singin' 'round the world Singing from a field of my mind There's no one to tell me what you've been waiting for So many reasons Why we're still here in your head? (Ah-ah) You don't even know how it happened We were all just kids with our heads on cresciences The only thing that matters is love",6,6,8
"You know tonight, I'll make","You know tonight, I'll make it to the top of my lungs It's gonna be a long way down But don't stop thinking 'bout what you've been through So let me put your hands up in that air so we can get outta here We're heading for our first ever Uptown flight From L.A.'s next-door neighbors Interscope feel like",6,6,6
Step out into the dawn,Step out into the dawn There's no one to blame But you and I will never be alone You've been here for so long Don't let me down Your love has opened up a flood of eyes The only thing that can save us from this ignominious fire We'll find our way back home 'Cause now we're gonna see what it feels like To walk away with your hands in mine,8,8,7
Taken by wanderlust I can,"Taken by wanderlust I can feel it in your eyes Tried to get you out of my head, but no one found the light It's been a long time since we've seen so many things So far away from home You and me will always be right beside each other Don't look down on us We're just living our lives together The only thing that matters is love (Love)",9,6,8
"I just wanna go back,","I just wanna go back, can you hear me now? 'Cause I don't know what it's like to wake up in the morning And all of my friends are dead and gone They say that we're too busy making ends meet We've been working so hard for a week or two Just tryna figure out how much time is waiting on us To find somebody who will pay their fair share",,,
Waiting for the time to,"Waiting for the time to lighten up Don't know where you're going But I can see it in your eyes It's just a dream come true You got me thinking 'bout everything that we've been doin' (Dreams, yeah) All my dreams were made of gold and silver And they all fell into one heart This is not about us We'll never be forever together",,,
"If I love you, will","If I love you, will it ever be more than just a kiss? You're the only one that's gonna get me out of this place 'Cause we've got so much on our hands We don't even know what to do Just look at us now (Woo) Wanna take my hand in your eyes and say ""Hey baby"" And then run away with another Whoa-",,,
Roses are red and Violets,"Roses are red and Violets sparkle in your eyes I've been thinking 'bout this for days now Why can't we just have a little bit of fun? We could do it all night long You're the only one that loves me more than love (Love) If you want to be my lover, let's not talkin' no-boo This is our time",,,
"(Ghost, ghost, ghost, ghost) (Ghost,","(Ghost, ghost, ghost, ghost) (Ghost, 'bout the way you're looking at me)'Cause I don't know what it's like to wake up one more time Gave my best friend a bad dream He took her by surprise and she said ""I'm so sorry for your heartbreak"" And then he ran away with all of his friends All that they wanted was",,,
Never gonna get away Never,"Never gonna get away Never wanna be the one that you used to Hold my hand and hold me back 'Cause I don't even know what it's like To wake up in a city full of people Whoa-oh, where did we go from here? We were just kids with our hearts broken But now they're all singing songs about us (Woo!) Singin' ‘til",,,
Some people say there's nothing,"Some people say there's nothing that can compare to the world We're living in a constant state of disarray And I don't even know what it might be Cause we've been here for so long A thousand years have passed since our name was written On your tombstone, where did you come from? The story goes on: ""Lonely and unkind"" (Ooh-o",,,
I don't wanna talk about,"I don't wanna talk about the past, it's just a question of time I've been thinking 'bout what we can do' But when you're looking at me with that look in my eyes It feels so good to be on your own You should probably know this is only for one night A dream come true (Dream) So many nights have gone by Whoa-ohhoo",,,
Heaven on your body I,"Heaven on your body I don't know what you're doin' 'bout It's just a question of time And when the day comes down He said, ""I'll be here by my side"" Then he took me to his room and told him that we could work it out (Woo) My heart beats in two different ways The one is beating with no regard for truth",,,
I've been asleep Head in,"I've been asleep Head in my bed, staring at the ceiling I don't know what it's like to wake up when you're sleepin' 'Til morning comes and goes You can call me ""Baby"" (Ooh) My name is Tylenol with a brand new Melancholy Brown Eyedrops on every inch of your skin Your eyes are moving faster than",,,
NA What do you mean?,"NA What do you mean? It's a question of time And I don't know what it means to be honest With all the good things that we've been through You're looking at me as if nothing has ever happened So take your hand and say, ""I'm sorry"" We'll wait for each other 'til our hands are tied (T-teardrops) Your heart is",,,
Finally I'm where I wanna,"Finally I'm where I wanna be Let's get down to business As long as we can find the words that make my heart stop Worrying 'bout what you've done So don't let me go Leave this part of us all alone We'll have a good time together (Oh, oh-oh) This is not an easy ride But it will take some getting off our feet To",,,
I'mma lookin' for the next,"I'mma lookin' for the next one 'Cause it's been a while since you came over And I don't really know what to do With all that has happened So let me put my hands up and say, ""Uh-huh"" This is your last goodbye We're gonna get this outta here with our hearts in two It feels like we've got too much at stake",,,
This a number one champion,"This a number one champion Let's get to the bottom of your game And if you don't know what I'm doin' we'll be right here by my side 'Cause this is all or nothing, no matter how hard it gets We're just human beings and not like animals in our wildest dreams (Woah-oohoo) No animal that can live without its own rules",,,
"Lately, I've been, I've been","Lately, I've been, I've been thinking 'bout you Woke up late at 3AM Trying to get out of my head Took a picture with your name on it Don't know if this is real or just fantasy Let's go all night long We'll be back in the same place Wherever we find each other again (Woah-ooh) Our hearts are",,,
"High, high hopes Had to","High, high hopes Had to find a way Out of my head and into the sky I don't know where you're going But there's something about it That makes me wanna fall in love with somebody else And maybe we could be more than just part-time lovers We can make this dream come true 'Cause nothing ever lasts forever No matter how long our hearts are together You'll always have someone",,,
If you don't wanna see,"If you don't wanna see your face, I'll make it to the other side 'Cause there's no turning back on what we've been through You're not gonna get a lot of love from me Just look at my heart and say ""I'm sorry"" (Mmh) If nothing else could be done To fix this broken mess that has lasted for so long So many sleepless",,,
I want to ask You,"I want to ask You, are you waiting for me? I don't know what it's like To be honest With all of the things that we've done So take my hand And put your hands up All night long We'll hold onto each other 'Cause our love will never die There is no one who can stop us From loving this world For more than a thousand years Our hearts have been",,,
Yeah EarDrummers Bad bitches is,"Yeah EarDrummers Bad bitches is what I'm used to But now you're stuck in the back of my head Gotta get outta here 'Cause it's been a long time coming Back when we first met We were just kids who didn't know each other (Uh, uh-huh) The only thing that ever made sense for us was love You got me wanting more",,,
It's close to midnight Something,"It's close to midnight Something tells me that I've been waiting all my life Don't know what it will be like To wake up one day and find myself alone in the middle Of a world full of people who say they're no good for their own ends Things are moving faster than words can change Everything is falling apart It feels so right at home, oh Where do we go from here?",,,
"Girl, you remind me of","Girl, you remind me of all the times I've been down on my knees Don't know what it's like to be alone in your arms Gotta get outta this party 'Cause we're never gon' stop loving each other (Oooh) We can take off our clothes and run away with a little bitches Tryna fool ourselves into believing that love is just for us Girl",,,
"Honestly, you said I think","Honestly, you said I think we need a miracle Evening heat and you were tired of a love fit for a theme park ride Motioning, hail a cab head for the airport Empty street but I was never one for short endings or cheap goodbyes I'm a reckless lover, you already know In the sweet, sweet summer, I'm here on your coast And I call your number, we meet at the late show I, I never let it, I couldn't let it go The night's not over come on tell me it's not And I'll drive you home after the city has stopped And we both know better, maybe we don't though I I never let it, I couldn't let it go I couldn't let it go Lie to me, tell me all about the west coast Focusing, say it's everything you dreamed it be Truthfully, I'm not doing any better though I try to sleep, but my mind is running overtime all night endlessly I'm a reckless lover, you already know In the sweet, sweet summer, I'm here on your coast And I call your number, we meet at the late show I, I never let it, I couldn't let it go The night's not over come on tell me it's not And I'll drive you home after the city has stopped And we both know better, maybe we don't though I I never let it, I couldn't let it go I couldn't let it go I couldn't let it go",,,
"Hey, mister policeman I don't","Hey, mister policeman I don't want no trouble I just wanna drop my jiggelin' down to the floor Hey, mister policeman Why you wanna holla at me? I just wanna drop my jiggelin' down to the floor No arrest badman mind ya bizz No arrest badman mind ya bizz No arresta baddaman mind ya business Down to the floor Bring 'em down No arrest badman mind ya bizz No arresta baddaman mind ya business Hey, mister policeman I don't want no trouble I just wanna drop my jiggelin' down to the floor Hey, mister policeman Why you wanna holla at me? I just wanna drop my jiggelin' down to the floor No arrest badman mind ya bizz No arrest badman mind ya bizz No arresta baddaman mind ya business Down to the floor Bring 'em down No arrest badman mind ya bizz No arrest badman mind ya bizz No arresta baddaman mind ya business Down to the floor Hey, mister policeman Leave her alone Mek she whine mash up the town Look how she sexy, look how she round Give her the whining crown Her body illegal, her whining illegal Her style is so lethal, yeaaa She ain't a regular kind a gyal Ya! Yea! Yea! Hey, mister policeman I don't want no trouble I just wanna drop my jiggelin' down to the floor Hey, mister policeman Why you wanna holla at me? I just wanna drop my jiggelin' down to the floor No arrest badman mind ya bizz No arrest badman mind ya bizz No arresta baddaman mind ya business Down to the floor Bring 'em down No arrest badman mind ya bizz No arrest badman mind ya bizz No arresta baddaman mind ya business Down to the floor So I hit the road and end up in a yardy party Baby was moving like like a naughty shorty Need discipline, I need discipline Need to put me on a lockdown no visiting Bring 'em down yea Handcuffs maintain the connection This baton is a rod of correction Discipline, I need discipline Need to put her on a lockdown no visiting No arrest badman mind ya bizz No arrest badman mind ya bizz No arresta baddaman mind ya business Down to the floor",,,
Oooh Cool yourself down I,"Oooh Cool yourself down I think I'm getting stuck I think I'm getting hooked on you Your cheeks are so warm And mine are glowing too Yeah, I can feel our lips like glue So what are we thinking And what are we here to prove? Let's stop being public I guess we should get a room Oh, I don't believe it Yeah, I think I have a screw loose I think you have a screw loose too So oooh Because our lips are like glue I think I love you So oooh Yeah, I wanna love you I wanna love you for the night Don't beat yourself up It's something that I've done It's something that we all go through Let's finish up our drinks We better make a move Cause we could carry on til two I know what you're thinking I know that it's not like you Your heartbeat is so quick When you say, ""Let's rendez-vous"" Oh, I don't believe it Yeah, I think I have a screw loose I think you have a screw loose too So oooh Because our lips are like glue I think I love you So oooh Yeah, I wanna love you I wanna love you for the night So do you want to Want to go (go, go)? Cause I want you And you know (know, know) So do you want to Want to go (go, go)? I want to love you I'm so ready to go home So call us up a cab and stop me feeling lonely Why don't you give me your number It's time to call a cab, stop spending all your money So oooh Because our lips are like glue I think I love you So oooh Yeah, I wanna love you I wanna love you for the night So do you want to Want to go (go, go)? Cause I want you And you know (know, know) So do you want to Want to go (go, go)? I want to love you Oooh Oooh",,,
Hangul Talk () Uh (),"Hangul  Talk            () Uh ()                     ?            Yeah          What you what you Wanna do right now How stupid little dumb Dumb stop now                                  Why don't you  ma baby Why don't you  ma baby Why don't you  ma baby       ?                                                      Why don't you  ma baby Your Lips () Your Eyes ()       Your Lips () Your Eyes ()                  Why don't you  ma baby Romanization Eunheumheumheum, eunheumheumheum Eunheumheumheum, eunheumheumheum Eunheumheumheum, deodeodeodeol Eunheumheumheum, deodeodeodeol Eunheumheumheum, deodeodeodeol Eunheumheumheum, deodeodeodeol Arameokke Talk-hae dari tteolji malgo Wae amu marina hae Geon eodi marini eobeobeo Uh eobeobeobeobeobeo Tteollineun donggong deodeodeodeol Meori gullineun sori an nage jom hae bwa Da tiga na giga cha mweoga geuri jjillina Jigeum useumi nawa jjajeung nage Naega mweol haettago Ni meori dari pari tteollyeo deoldeoldeol Yeah dodungmanyang je bal jeoryeotji mak Jwi japdeushi jaba juji nan What you what you wanna do right now How stupid little dumb dumb stop now Geojinmal da niga sogin georae Hanbeon hamyeon tto handae Beoreutdwaeseo gyeolguk kkeunnandae Yeopeseo da naega michin georae Neoman soga jugo da jugo da jugo Haji ma jakkuman Nareul deo michige mandeulji ma Geureoke gipge gaji ma Deo isang mireonaegi shiltamyeon Why don't you shwit My baby Hmm yeah Why don't you shwit My baby Why don't you shwit My baby Ige jinjja majimagiya malhae bwa Mianhadamyeonseo mweoga mianhande Mianhadamae da ne tashieottamae ttokkanne Geunyang geudongan niga han modeun sagwa Gibun cham mweo ganne Geureom nan mweoga dwae a cham nae Ije nan himdeureo geumanhallae Naega eojjeogil barae Nahante jeongmal ireom an dwae Apeseo naega mottwege haedo Gyeolguk soga jugo da jugo da jugo Haji ma jakkuman Nareul deo michige mandeulji ma Geureoke gipge gaji ma Deo isang mireonaegi shiltamyeon Why don't you shwit My baby Your lips, your eyes Ni meori heori dari modu da Your lips, your eyes Ni meori heori dari modu da Haji ma jakkuman Nareul deo michige mandeulji ma Geureoke gipge gaji ma Deo isang mireonaegi shiltamyeon Why don't you shwit My baby Eunheumheumheum, eunheumheumheum Eunheumheumheum, eunheumheumheum Eunheumheumheum, deodeodeodeol Eunheumheumheum, deodeodeodeol Eunheumheumheum, deodeodeodeol Eunheumheumheum, deodeodeodeol English Translation Talk to me so I can understand Stop shaking your leg Why are you just saying anything? What language is that? (uh uh uh) Uh uh uh uh (uh uh uh) Your eyes are shaking Stop thinking so hard, I can hear everything It's so obvious, I can't believe this What're you so guilty of? How can you laugh right now? So annoyed What did I do to make your head, arms and legs shake? Yeah, like a thief, you tripped Caught you like catching a mouse What you what you Wanna do right now How stupid little dumb Dumb stop now Lies, they say you deceived me Once you do that, they said you'll do it again Said it becomes a habit and things will end They say that I'm crazy Getting deceived by you and giving you everything Stop it Stop driving me so crazy Don't go so deep If you don't wanna push me away anymore Why don't you shh ma baby Why don't you shh ma baby Why don't you shh ma baby This is the last time, tell me If you say you're sorry What're you so sorry about? You said you're sorry, you said it's all your fault All of those apologies you gave Makes me feel like crap Then what do I become? This is too hard, I wanna stop What do you want me to do? You can't do this to me Even if I become the bad guy I'm getting deceived by you and giving you everything Stop it Stop driving me so crazy Don't go so deep If you don't wanna push me away anymore Your Lips (tremble) Your Eyes (tremble) Your head, waist, legs, everything Your Lips (tremble) Your Eyes (tremble) Your head, waist, legs, everything Stop it Stop driving me so crazy Don't go so deep If you don't wanna push me away anymore Why don't you shh ma baby",,,
When the night is closing,"When the night is closing Eyes are running wild When I hear you humming All night long The sign I see it Tell me am I true All I need from you is All I see This city's paved with cold Playboys buying fun Seems there is no hunter left Without his hunting gun Can you feel the light? The air is wild open Oh, you see the light it's coming through It's there in the distance Always offered to me Always coming over a hill Oh, your see-saw smile Lasts me all night long Like a siren's curl When the night is long Now, come hold my hand No bad vibe hearts Hold my hand, you know This journey could be long Yeah, the seasons come in All the nights are woven All the nights, we'll see them through Ah, no hundred men now Would dare cut into us We'll go on and see it through (Belle) (Une rose qui a joue son role) (Mon Miroir) (Mon clef d'or) (Mon cheval) (Et mon gant sont les cinq secrets de ma puissance) Now, hold my hand No bad vibe hearts (Je voulais livrer) (Il vous suffira de mettre ce gant) (A votre main droite) (Il vous transportera ou vous desirez l'etre) When the night has come in Your eyes are running wild Then I hear you humming All night long Yeah, the sign I see it Yeah, the times I see it All I need to know from you Is all I see Can you feel the light? The air is wild, open Oh you see the light It's coming through It's there in the distance Always offered to me Always coming over a hill Yeah, the seasons come in All the nights are woven All the nights, we'll see them through Ah, no hundred men now Would dare cut into us We'll go on and see it through",,,
"Body to, ooh Body to","Body to, ooh Body to body We should take it nice and slow Feel it all to forget Pull me in, then let me go Hold me close 'til the end It's just a little fun, we don't mean it Don't think about your heart or your feelings Let's satisfy the (Uh) that we're needing Just gonna make it last for the weekend, ooh Body to body, body to body, body to body Body to body, body to body, body to body I need somebody, I need somebody, I need somebody Body to body, body to body, body to body (Oh, yeah) Body to body, body to body, body to body Body to body, body to body, body to body Can't help myself when you call Want the taste of your skin (Yeah) We get up close and personal Then we're strangers again It's just a little fun, we don't mean it (Don't mean it) Don't think about your heart or your feelings (Feelings) Let's satisfy the (Uh) that we're needing Just gonna make it last for the weekend, ooh Body to body, body to body, body to body Body to body, body to body, body to body I need somebody, I need somebody, I need somebody (I need somebody) Body to body, body to body, body to body Body to body, body to body, body to body Body to body, body to body, body to body I need somebody, I need somebody, I need somebody Body to body, body to body, body to body",,,
INSTRUMENTAL ONLY,INSTRUMENTAL ONLY,,,
I got these beliefs that,"I got these beliefs that I think you wanna break Got something here to lose that I think you wanna take from me You say that I'm asleep, but I wanna be awake Got something here to lose that I know you wanna take And he said age is just a number, just like any other We can do whatever, do whatever you want Boy becomes a man now Can't tell a man to slow down He'll just do whatever, do whatever he wants I went out looking for love when I was seventeen Maybe a little too young, but it was real to me And in the heat of the night, saw things I'd never seen No-oh-oh-oh-oh-oh, seventeen You should know I'm green, but I'll find my way around Heard the whispers, now let's see what all the talk's about I'm taking in the sights and measuring the sounds Heard the whispers, now let's see what all the talk's about And he said age is just a number, just like any other We can do whatever, do whatever you want Boy becomes a man now Can't tell a man to slow down He'll just do whatever, do whatever he wants I went out looking for love when I was seventeen Maybe a little too young, but it was real to me And in the heat of the night, saw things I'd never seen No-oh-oh-oh-oh-oh-oh, seventeen Oh-oh-oh-oh-oh-oh, seventeen Seventeen, seventeen, seventeen Oh-oh-oh-oh-oh-oh, seventeen Seventeen, seventeen, seventeen I went out looking for love when I was seventeen Maybe a little too young, but it was real to me And in the heat of the night, saw things I'd never seen No-oh-oh-oh-oh-oh, seventeen I went out looking for love when I was seventeen Maybe a little too young, but it was real to me And in the heat of the night, saw things I'd never seen No-oh-oh-oh-oh-oh, seventeen Seventeen, seventeen, seventeen Seventeen, seventeen, seventeen",,,
"I need a dollar, dollar","I need a dollar, dollar Dollar, that's what I need (Hey, hey) Well I need a dollar, dollar Dollar, that's what I need (Hey, hey) Said I need a dollar, dollar Dollar, that's what I need And if I share with you my story would you share your dollar with me? Bad times are coming and I reap what I done sowed (Hey, hey) Well let me tell you something, all that glitters ain't gold (Hey, hey) It's been a long old trouble, long old troublesome road And I'm looking for somebody come and help me carry this load I need a dollar, dollar Dollar, that's what I need (Hey, hey) Well I need a dollar, dollar Dollar, that's what I need Well I don't know if I'm walking on solid ground Cause everything around me is falling down And all I want is for someone to help me I had a job but the boss man let me go (He said) I'm sorry, but I won't be needing your help no more (I said) Please, Mister Boss man I need this job more than you know But he gave me my last paycheck and he sent me on out the door Well I need a dollar, dollar Dollar, that's what I need (Hey, hey) Said I need a dollar, dollar Dollar, that's what I need (Hey, hey) And I need dollar, dollar Dollar, that's what I need And if I share with you my story would you share your dollar with me? Well I don't know if I'm walking on solid ground Cause everything around me is crumbling down And all I want is for someone to help me What in the world am I gonna to do tomorrow? Is there someone with a dollar I could borrow? Who can help me take away my sorrow? Maybe it's inside the bottle (Maybe it's inside the bottle) I had some good old buddies, names is Whiskey and Wine (Hey, hey) And for my good old buddies I spent my last dime (Hey, hey) Now Wine is good to me, he help me pass the time And my good old buddy Whiskey keep me warmer than sunshine (Hey, hey) Your mama may have blessed the child that's got his own (Hey, hey) If God has plans for me I hope it ain't written in stone (Hey, hey) Because I've been working, working myself down to the bone And I swear on Grandpa's grave I'll be paid when I come home (Hey, hey) Well I need a dollar, dollar Dollar, that's what I need (Hey, hey) Said I need a dollar, dollar Dollar, that's what I need (Hey, hey) Well I said I need dollar, dollar Dollar, that's what I need And if I share with you my story would you share your dollar with me? (C'mon share your dollar with me Go 'head, share your dollar with me C'mon share your dollar, gimme your dollar Share your dollar with me C'mon share your dollar with me)",,,
Blow the smoke away I,"Blow the smoke away I know you don't like it, mm You're against the grain That's how I like it, mm First degree, you're all on me And I can't hide it, mm You scorch the sky and tear it down You lit a match in me, mm I'm going down in flames and you're feeding the fire Each word you breathe Call me insane, I'm in love with your games Oh, I hear your name in the song of the fire Where else would I be? I'm letting it burn, burn, burn Letting it burn, burn, burn Burn, burn, burn, burn Burn, burn, burn Drew your shape in ash I inhale you, I'm all about you I'm always coming back Getting close to your heat You lit a match in me I'm going down in flames and you're feeding the fire Each word you breathe Call me insane, I'm in love with your games Oh, I hear your name in the song of the fire Where else would I be? I'm letting it burn, burn, burn Letting it burn, burn, burn Burn, burn Burn, burn, burn Burn, burn, burn, burn Burn, burn, burn",,,
"Hey, we've been going through","Hey, we've been going through some changes Tell me that we'll make it Tell me that we'll make it Oh, I don't wanna be alone Tell me that you'll hold on Tell me that you'll hold on Without you, these walls get to feeling like they ain't a home We're already halfway there Are we gonna finish what we started Or just leave it here?'Cause the fight ain't fair If we're hanging onto something Only halfway there Can't wait forever We know better than to let it go We're already halfway there We're already halfway there Hey, I don't wanna be that story Where the ending goes missing 'Cause we couldn't go the distance Say, let me hear you say you understand We'll do all we can And this ain't the end And this ain't the end With you is not just a feeling, it's body and soul We're already halfway there Are we gonna finish what we started Or just leave it here?'Cause the fight ain't fair If we're hanging onto something Only halfway there Can't wait forever We know better than to let it go We're already halfway there We're already halfway there Hey, we've been going through some changes Tell me that we'll make it Tell me that we'll make it Halfway there Fight ain't fair We're already halfway there Are we gonna finish what we started Or just leave it here?'Cause the fight ain't fair If we're hanging onto something Only halfway there Can't wait forever We know better than to let it go We're already halfway there We're already halfway there",,,
